id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW,Cosine_Similarity
arrayClass,boolClass,0.2353,0.677,NAN,0.65,0.76,0.84,0.31,0.97,0.5,0.7,0.620727002620697
paddingRight,paddingTop,0.0455,1.0,NAN,0.89,0.88,0.88,0.28,0.94,0.58,0.71,0.9212179183959961
expect,bp,0.05,0.0238,0.1062,0.05,0.48,0.22,0.05,0.07,0.17,0.25,0.1900423914194107
items,files,0.625,0.5892,0.7505,0.3,0.59,0.38,0.28,0.77,0.4,0.6,0.2790118157863617
disabled,visible,0.103,0.5384,NAN,0.36,0.51,0.52,0.42,0.74,0.62,0.75,0.3833504617214203
round,sqrt,0.0578,0.5173,NAN,0.6,0.78,0.77,0.85,0.76,0.0,0.4,0.2772010564804077
teal,lightgrey,0.25,0.7845,NAN,0.25,0.7,0.87,0.39,NAN,0.11,0.28,0.22524075210094452
navy,lightblue,0.4117,0.8923,0.231,0.38,0.76,0.87,0.35,0.9,0.0,0.22,0.04578633978962898
navy,lightgreen,0.125,0.6514,NAN,0.31,0.75,0.89,0.47,0.94,0.0,0.2,0.044796328991651535
navy,magenta,0.1765,0.8617,NAN,0.38,0.74,0.74,0.38,0.87,0.14,0.36,0.17441707849502563
items,records,0.7345,0.8039,0.7983,0.47,0.58,0.71,0.3,0.85,0.14,0.43,0.11013612896203995
hide,blur,0.2708,0.5424,NAN,0.5,0.71,0.59,0.39,0.69,0.0,0.5,0.19892437756061554
VERSION,geoJson,0.0795,0.1085,0.1606,0.16,0.32,0.09,0.25,0.48,0.0,0.5,-0.16519935429096222
Util,isParam,0.1,0.2155,NAN,0.27,0.52,0.29,0.35,0.4,0.0,0.29,0.12948644161224365
found,rawFunc,0.05,0.0934,NAN,0.06,0.42,0.15,-0.03,NAN,0.29,0.5,0.05211859941482544
a01,b11,0.175,0.4247,NAN,0.8,0.9,0.88,0.35,0.94,0.33,0.67,0.5775250196456909
gray,silver,0.4667,0.9129,0.1147,0.4,0.77,0.83,0.22,0.82,0.0,0.33,0.12848088145256042
topLevelTarget,topLevelTargetID,0.6538,0.8392,0.7658,0.91,0.94,0.87,0.7,0.63,0.88,0.88,0.9290632605552673
defHeaders,defHeaderName,0.5312,0.9184,0.8124,0.82,0.9,0.92,0.68,0.5,0.69,0.73,0.7276419997215271
get,facets,0.1875,0.2155,0.208,0.09,0.48,0.31,-0.0,0.3,0.33,0.42,0.021957246586680412
equal,cut,0.0385,0.0947,0.2049,0.09,0.51,0.09,0.15,0.34,0.2,0.4,0.2845444679260254
start,begin,0.9423,0.9799,NAN,0.58,0.67,0.48,0.69,0.85,0.0,0.5,0.5399867296218872
visible,showing,0.829,0.9038,NAN,0.55,0.7,0.54,-0.15,0.66,0.0,0.5,0.46533599495887756
dataMax,dataMin,0.125,0.9738,NAN,0.94,0.96,0.97,0.6,0.97,0.71,0.86,0.9198200106620789
len,ls,0.1965,0.3088,NAN,0.49,0.71,0.52,0.4,0.46,0.33,0.5,0.2709738612174988
items,ranges,0.25,0.3562,0.7983,0.24,0.55,0.38,0.18,0.78,0.17,0.5,0.09727080911397934
dispatchIDs,_dispatchIDs,0.828,0.9184,NAN,0.78,0.88,0.78,0.5,0.43,0.92,0.92,0.8888227939605713
maroon,lightblue,0.0155,0.6731,0.1838,0.45,0.77,0.78,0.37,0.88,0.0,0.33,0.23590798676013947
remove,focus,0.0395,0.0502,0.1062,0.27,0.6,0.54,0.28,0.75,0.0,0.42,0.15673308074474335
b01,a03,0.1537,0.4569,0.0824,0.82,0.92,0.88,0.2,0.96,0.33,0.67,0.7559254765510559
getAnimation,depot,0.0735,0.0309,NAN,0.19,0.57,0.78,0.44,0.59,0.17,0.29,0.09635217487812042
translateX,translateY,0.2293,0.9563,NAN,0.98,0.97,0.97,0.64,0.94,0.9,0.95,0.9985198974609375
mountDepth,updateComponent,0.0625,0.063,0.2915,0.38,0.5,0.85,0.31,0.48,0.13,0.4,0.2680637240409851
left,bottom,0.125,0.6862,NAN,0.63,0.82,0.84,0.73,0.91,0.17,0.42,0.5371536612510681
nodes,filenames,0.2223,0.448,NAN,0.39,0.46,0.39,-0.08,0.63,0.33,0.44,0.150157168507576
records,entries,0.8685,0.8624,1.0,0.41,0.53,0.52,0.14,0.76,0.29,0.57,0.12078181654214859
adjusted_scale,rangy,0.3077,0.4367,0.242,0.27,0.39,0.27,0.35,NAN,0.0,0.18,0.020229827612638474
PLACEHOLDER,vertexFormat,0.1168,0.1807,0.299,0.23,0.27,0.09,-0.22,0.44,0.0,0.46,0.21945229172706604
vSpace,advisoryTitleInputLabel,0.0695,0.0557,0.0478,0.38,0.47,0.53,0.38,NAN,0.17,0.22,0.0752410814166069
styleSelectLabel,tag_h4,0.2812,0.4116,0.1377,0.15,0.38,0.64,0.39,NAN,0.06,0.22,0.11954409629106522
body,currants,0.1155,0.1953,0.276,0.26,0.47,0.04,0.29,0.5,0.0,0.25,0.11653856933116913
alpha,rate,0.1138,0.1917,NAN,0.37,0.59,0.49,0.27,0.71,0.0,0.4,0.21021464467048645
indices,positions,0.6965,0.8133,0.983,0.29,0.59,0.47,0.37,0.71,0.22,0.5,0.3261386454105377
keyup,deferId,0.1168,0.1109,NAN,0.19,0.46,0.32,-0.11,0.43,0.14,0.43,0.14305375516414642
getBorderWidth,getPadding,0.5295,0.8462,0.5999,0.79,0.76,0.9,0.6,0.97,0.36,0.54,0.43759021162986755
foo,abc,0.5833,0.2155,0.8196,0.44,0.78,0.58,0.4,0.76,0.0,0.5,0.29002827405929565
files,images,0.5,0.7385,0.807,0.47,0.6,0.49,-0.02,0.78,0.33,0.58,0.3029380142688751
layers,entries,0.2668,0.3724,0.7488,0.38,0.5,0.44,0.22,0.67,0.14,0.5,0.1155906543135643
generalTab,advancedTab,0.389,0.8839,0.0,0.63,0.76,0.91,0.77,0.98,0.27,0.59,0.11484961956739426
targetPopup,popupResizable,0.328,0.6569,0.6966,0.51,0.63,0.85,0.45,NAN,0.07,0.43,0.4565880596637726
start,searches,0.1168,0.1284,NAN,0.21,0.47,0.27,-0.16,0.45,0.38,0.5,0.1675223708152771
a24,a30,0.3462,0.7385,0.734,0.87,0.95,0.81,0.25,0.97,0.33,0.67,0.7777630686759949
push,configure,0.047,0.1501,NAN,0.06,0.49,0.17,0.14,0.55,0.11,0.28,0.07500667870044708
len,ln,0.794,0.8462,0.8428,0.66,0.75,0.72,0.6,0.85,0.67,0.67,0.11101920902729034
left,top,0.05,0.7646,NAN,0.8,0.88,0.91,0.81,0.98,0.0,0.38,0.5386254787445068
lightgreen,lightgrey,0.1138,0.6433,0.2172,0.94,0.97,0.95,0.76,NAN,0.8,0.85,0.8719988465309143
self,that,0.297,0.4932,0.4594,0.28,0.7,0.62,0.1,0.88,0.0,0.5,-0.023628616705536842
y,z,0.4265,0.477,NAN,0.58,0.86,0.73,0.58,0.84,0.0,0.5,0.5950173735618591
push,ts,0.111,0.1138,NAN,0.12,0.56,0.29,0.01,0.24,0.25,0.38,0.18188945949077606
element,elm,0.8678,0.9231,NAN,0.58,0.73,0.6,0.37,0.84,0.43,0.43,0.3645705580711365
id,userid,0.7648,0.8308,0.8708,0.56,0.67,0.45,-0.02,0.77,0.33,0.33,0.4221126139163971
id,sessionid,0.7205,0.8462,0.9169,0.41,0.55,0.45,0.12,0.71,0.22,0.22,0.27429890632629395
expect,assume,0.6765,0.7539,0.7983,0.46,0.65,0.48,0.25,0.58,0.0,0.5,-0.009507683105766773
callback,cb,0.8595,0.8692,NAN,0.65,0.7,0.78,0.48,0.83,0.25,0.25,0.3858821392059326
container,video,0.2082,0.3172,NAN,0.29,0.5,0.21,0.18,0.7,0.22,0.39,0.12702038884162903
container,submenu,0.3595,0.4278,0.242,0.28,0.49,0.35,0.33,0.78,0.11,0.44,0.14477702975273132
children,columns,0.2833,0.3201,0.7983,0.42,0.54,0.46,0.2,0.73,0.25,0.56,0.019263850525021553
items,tiles,0.3125,0.4116,NAN,0.28,0.55,0.35,0.27,0.79,0.4,0.6,0.3212689161300659
equal,ok,0.3195,0.3753,0.9052,0.7,0.8,0.67,0.65,0.76,0.0,0.2,0.09781230241060257
miny,ypos,0.375,0.6825,0.0247,0.27,0.7,0.6,0.4,0.75,0.0,0.5,0.25324946641921997
newLength,Group,0.0418,0.0267,0.1606,0.15,0.41,0.1,0.13,0.32,0.0,0.28,0.08794837445020676
colspan,assignTo,0.0625,0.0847,0.29,0.1,0.39,0.21,0.22,0.08,0.12,0.44,0.07450854033231735
setScrollTop,prefixWith,0.0795,0.1323,NAN,-0.15,0.22,0.03,0.32,0.84,0.0,0.42,-0.09446197748184204
getMinutes,getUTCMinutes,0.725,0.9085,0.9794,0.93,0.87,0.87,0.28,0.95,0.77,0.77,0.9965065121650696
FONTDATA,FONTS,0.578,0.853,0.8931,0.92,0.92,0.95,0.54,0.75,0.5,0.56,0.3112575113773346
ReactEmptyComponent,renderToStaticMarkup,0.1073,0.091,0.3695,0.6,0.65,0.65,0.22,0.55,0.1,0.52,0.36844396591186523
images,streams,0.25,0.586,0.0404,0.27,0.46,0.35,-0.09,0.67,0.14,0.5,0.22922967374324799
s1,s2,0.3552,0.7246,0.7833,0.97,0.96,0.99,0.56,0.89,0.5,0.75,0.7900253534317017
precondition,prereq,0.8125,0.8692,0.8173,0.57,0.75,0.88,0.71,0.86,0.25,0.38,0.08337463438510895
setAttributeNode,createAttribute,0.3678,0.7076,NAN,0.69,0.74,0.94,0.43,0.75,0.5,0.62,0.7603030204772949
Connection,Client,0.2812,0.4608,NAN,0.74,0.74,0.87,0.36,0.81,0.3,0.45,0.39963194727897644
dom__FixedSizeListIterator,_dom_pos,0.2655,0.5586,NAN,0.46,0.64,0.86,0.91,NAN,0.15,0.21,0.2783639430999756
v2,v3,0.297,0.8039,NAN,0.85,0.9,0.92,0.5,0.91,0.5,0.75,0.7066574096679688
trim,separatedList,0.163,0.2837,NAN,0.3,0.36,0.22,0.02,NAN,0.15,0.23,0.2548069655895233
minVal,minValue,0.908,0.9587,0.6913,0.84,0.89,0.65,-0.2,0.77,0.75,0.75,0.7280441522598267
btnModify,btnSetValue,0.6072,0.7385,0.8292,0.6,0.75,0.83,0.55,NAN,0.27,0.55,0.560160756111145
nodeLinkFn,childLinkFn,0.75,0.8593,0.8763,0.84,0.89,0.94,0.47,0.75,0.55,0.73,0.4148867130279541
setMinutes,setSeconds,0.2205,0.9077,0.0593,0.77,0.86,0.97,0.72,0.99,0.4,0.7,0.6058367490768433
obj1,obj2,0.6095,0.8039,0.5967,0.97,0.96,0.95,0.57,0.85,0.75,0.88,0.9614983797073364
destroy,clear,0.6,0.8083,0.8296,0.55,0.69,0.63,0.55,0.93,0.14,0.43,0.3342978358268738
panelTitle,panelTitle1,0.8815,0.9587,0.625,0.92,0.96,0.86,0.69,NAN,0.91,0.91,0.8994547128677368
__dependency1__,__dependency2__,0.4643,0.9378,NAN,1.0,0.98,0.96,0.65,0.82,0.93,0.97,0.9929952025413513
ace,__ace_shadowed__,0.5,0.7945,0.3489,0.44,0.66,0.84,0.69,NAN,0.19,0.19,0.3561703860759735
m1,m2,0.5417,0.8112,NAN,0.94,0.93,0.89,0.69,0.84,0.5,0.75,0.8019461035728455
latitude,longitude,0.0147,0.9385,NAN,0.91,0.94,0.97,0.67,0.96,0.67,0.78,0.8546718955039978
item,record,0.6765,0.7694,0.9662,0.29,0.57,0.66,0.18,0.77,0.0,0.33,0.153181254863739
