Subject,Language,Domain,Metric
815,c,ml,1.0
816,c,backend,2.0
817,c,db,2.0
818,c,backend,1.0
819,c,backend,1.0
820,c,ml,1.0
821,c,backend,1.0
822,c,game,2.0
823,c,lang,1.0
824,c,db,1.0
825,c,lang,1.0
826,c,lang,2.0
827,c,backend,1.0
828,c,db,2.0
829,c,backend,2.0
830,c,db,2.0
831,c,game,1.0
832,c,game,1.0
833,c,backend,1.0
834,c,lang,2.0
835,c,db,1.0
836,c,backend,1.0
837,c,backend,2.0
838,c,backend,1.0
839,c,lang,2.0
840,c,backend,2.0
841,c,backend,5.0
842,c,backend,1.0
843,c,lang,2.0
844,c,backend,1.0
845,c,lang,1.0
846,c,game,2.0
847,c,ml,7.0
848,c,game,1.0
849,c,ml,1.0
850,c,game,1.0
851,c,backend,1.0
852,c,db,2.0
853,c,ml,1.0
854,c,db,2.0
855,c,backend,2.0
856,c,lang,2.0
857,c,ml,1.0
858,c,game,1.0
859,c,ml,2.0
860,c,db,2.0
861,c,db,1.0
862,c,backend,1.0
863,c,backend,1.0
864,c,ml,3.0
865,c,backend,1.0
866,c,backend,1.0
867,c,game,1.0
868,c,ml,2.0
869,c,backend,2.0
870,c,backend,1.0
871,c,db,2.0
872,c,lang,1.0
873,c,db,1.0
874,c,lang,1.0
875,c,backend,1.0
876,c,db,2.0
877,c,lang,2.0
878,c,db,1.0
879,c,lang,1.0
880,c,backend,2.5
881,c,lang,1.0
882,c,db,1.0
883,c,backend,2.0
884,c,db,2.0
885,c,backend,1.0
886,c,db,2.0
887,c,lang,2.0
888,c,lang,1.0
889,c,backend,1.0
890,c,lang,2.0
891,c,game,3.0
892,c,lang,1.0
893,c,db,1.0
894,c,game,1.0
895,c,lang,1.0
896,c,backend,1.0
897,c,db,1.0
898,c,backend,1.0
899,c,lang,1.5
900,c,backend,1.0
901,c,lang,1.0
902,c,backend,1.0
903,c,backend,1.0
904,c,lang,1.0
905,c,backend,3.5
906,c,backend,2.0
907,c,backend,1.0
908,c,ml,4.0
909,c,lang,1.5
910,c,backend,1.0
911,c,lang,1.0
912,c,game,1.5
913,c,backend,3.0
914,c,backend,5.0
915,c,backend,2.0
916,c,backend,1.0
917,c,db,2.0
918,c,ml,3.0
919,c,backend,1.0
920,c,ml,1.0
921,c,db,2.0
922,c,ml,1.0
923,c,game,1.0
924,c,backend,1.0
925,c,db,1.0
926,c,db,1.0
927,c,lang,1.0
928,c,ml,1.0
929,c,game,1.0
930,c,comp,1.0
931,c,lang,1.0
932,c,lang,1.0
933,c,backend,1.0
934,c,lang,2.0
935,c,db,3.0
936,c,game,2.0
937,c,ml,1.0
938,c,backend,2.0
939,c,backend,1.0
940,c,backend,2.0
941,c,backend,2.0
942,c,db,2.0
943,c,db,2.0
944,c,db,2.0
945,c,backend,1.0
946,c,ml,2.0
947,c,lang,2.0
948,c,game,2.0
949,c,backend,1.0
950,c,lang,1.0
951,c,game,1.0
952,c,backend,1.0
953,c,lang,1.0
954,c,ml,2.0
955,c,db,1.0
956,c,lang,2.0
957,c,backend,3.0
958,c,backend,1.0
959,c,backend,2.0
960,c,ml,1.0
961,c,backend,1.0
962,c,backend,1.0
963,c,backend,2.0
964,c,game,1.0
965,c,db,1.0
966,c,game,1.0
967,c,backend,1.0
968,c,backend,1.0
969,c,backend,1.0
970,c,backend,1.0
971,c,game,1.0
972,c,backend,2.0
973,c,db,2.0
974,c,ml,1.0
975,c,backend,2.0
976,c,backend,2.0
977,c,backend,1.0
978,c,lang,1.0
979,c,db,1.0
980,c,game,1.0
981,c,db,1.0
982,c,backend,1.0
983,c,lang,1.0
984,c,game,1.0
985,c,db,1.0
986,c,lang,1.5
987,c,lang,2.0
988,c,ml,1.0
989,c,backend,2.0
990,c,backend,1.0
991,c,lang,1.0
992,c,db,2.0
993,c,lang,2.0
994,c,game,1.0
995,c,db,1.0
996,c,db,2.0
997,c,game,2.0
998,c,db,1.0
999,c,backend,1.0
1000,c,lang,2.0
1001,c,backend,2.0
1002,c,game,1.0
1003,c,backend,1.0
1004,c,lang,2.0
1005,c,game,1.0
1006,c,game,1.0
1007,c,backend,1.0
1008,c,backend,1.0
1009,c,backend,1.0
1010,c,lang,2.0
1011,c,db,1.0
1012,c,game,1.0
1013,c,backend,2.0
1014,c,ml,1.0
1015,c,backend,1.0
1016,c,backend,1.0
1017,c,game,3.0
1018,c,ml,2.0
1019,c,backend,1.0
1020,c,lang,2.0
1021,c,db,3.0
1022,c,db,2.0
1023,c,db,2.0
1024,c,db,2.0
1025,c,backend,1.0
1026,c,db,2.0
1027,c,backend,1.0
1028,c,db,1.0
1029,c,backend,1.0
1030,c,backend,1.0
1031,c,db,2.0
1032,c,ml,1.0
1033,c,backend,1.0
1034,c,db,1.0
1035,c,backend,1.0
1036,c,backend,1.0
1037,c,backend,1.0
1038,c,lang,2.0
1039,c,backend,2.0
1040,c,db,1.0
1041,c,backend,1.0
1042,c,game,1.0
1043,c,ml,1.0
1044,c,lang,2.0
1045,c,lang,1.0
1046,c,game,2.0
1047,c,game,1.0
1048,c,db,1.0
1049,c,db,2.0
1050,c,ml,1.0
1051,c,db,1.0
1052,c,backend,1.0
1053,c,ml,1.5
1054,c,backend,1.0
1055,c,db,2.0
1056,c,lang,2.0
1057,c,lang,2.0
1058,c,lang,2.0
1059,c,backend,2.5
1060,c,db,1.0
1061,c,lang,2.0
1062,c,db,1.0
1063,c,db,1.5
1064,c,ml,1.0
1065,c,db,2.0
1066,c,game,1.0
1067,c,backend,1.0
1068,c,backend,3.0
1069,c,lang,2.0
1070,c,backend,1.0
1071,c,backend,1.0
1072,c,ml,1.0
1073,c,game,1.0
1074,c,backend,2.0
1075,c,db,1.0
1076,c,backend,1.0
1077,c,backend,3.0
1078,c,db,1.0
1079,c,game,1.0
1080,c,ml,1.0
1081,c,backend,1.0
1082,c,lang,1.0
1083,c,game,2.0
1084,c,ml,1.0
1085,c,backend,1.0
1086,c,db,2.0
1087,c,lang,1.0
1088,c,backend,1.0
1089,c,db,2.0
1090,c,db,3.0
1091,c,lang,1.0
1092,c,backend,1.0
1093,c,db,1.0
1094,c,backend,4.0
1095,c,backend,1.0
1096,c,lang,1.0
1097,c,db,2.0
1098,c,backend,1.0
1099,c,backend,1.0
1100,c,backend,1.5
1101,c,backend,2.0
1102,c,ml,4.0
1103,c,ml,4.0
1104,c,lang,1.0
1105,c,backend,3.0
1106,c,db,1.0
1107,c,lang,2.0
1108,c,lang,1.0
1109,c,db,2.0
1110,c,backend,1.0
1111,c,game,1.0
1112,c,backend,1.0
1113,c,backend,2.0
1114,c,db,1.0
1115,c,backend,1.0
1116,c,lang,1.0
1117,c,game,3.0
1118,c,game,3.0
1119,c,backend,1.0
1120,c,db,1.0
1121,c,game,1.0
1122,c,db,1.0
1123,c,db,1.0
1124,c,backend,1.0
1125,c,ml,1.0
1126,c,backend,2.0
1127,c,backend,1.0
1128,c,lang,1.0
1129,c,ml,1.0
1130,c,lang,2.0
1131,c,backend,1.0
1132,c,game,1.0
1133,c,ml,1.0
1134,c,backend,1.0
1135,c,comp,1.0
1136,c,backend,1.0
1137,c,game,1.0
1138,c,game,3.0
1139,c,backend,1.0
1140,c,db,1.0
1141,c,game,1.0
1142,c,lang,2.0
1143,c,lang,2.0
1144,c,backend,1.0
1145,c,lang,1.0
1146,c,game,1.0
1147,c,db,2.0
1148,c,db,2.0
1149,c,game,2.0
1150,c,backend,2.0
1151,c,backend,1.0
1152,c,db,2.0
1153,c,db,2.0
1154,c,backend,1.0
1155,c,backend,1.0
1156,c,game,1.0
1157,c,game,1.0
1158,c,lang,2.0
1159,c,lang,2.0
1160,c,backend,1.0
1161,c,ml,1.0
1162,c,backend,1.0
1163,c,backend,1.0
1164,c,game,1.0
1165,c,backend,2.0
1166,c,db,1.0
1167,c,lang,1.0
1168,c,ml,2.0
1169,c,lang,2.0
1170,c,backend,2.0
1171,c,backend,1.0
1172,c,backend,2.0
1173,c,ml,1.0
1174,c,ml,3.0
1175,c,ml,1.0
1176,c,backend,1.0
1177,c,db,2.0
1178,c,backend,2.0
1179,c,backend,1.0
1180,c,game,1.0
1181,c,ml,1.0
1182,c,lang,2.0
1183,c,backend,1.0
1184,c,backend,1.0
1185,c,lang,1.0
1186,c,db,2.0
1187,c,db,1.0
1188,c,backend,2.0
1189,c,backend,1.0
1190,c,backend,1.0
1191,c,backend,2.0
1192,c,backend,1.0
1193,c,ml,1.0
1194,c,lang,2.0
1195,c,db,1.0
1196,c,lang,1.0
1197,c,ml,4.0
1198,c,backend,1.0
1199,c,lang,1.0
1200,c,backend,1.0
1201,c,backend,1.0
1202,c,lang,2.0
1203,c,backend,1.0
1204,c,lang,1.0
1205,c,game,1.0
1206,c,lang,1.0
1207,c,lang,1.0
1208,c,game,1.0
1209,c,db,3.0
1210,c,db,2.0
1211,c,ml,1.0
1212,c,game,2.0
1213,c,game,1.0
1214,c,db,1.5
1215,c,lang,1.0
1216,c,db,2.0
1217,c,backend,1.0
1218,c,backend,1.0
1219,c,backend,1.0
1220,c,db,2.0
1221,c,backend,2.0
1222,c,ml,1.0
1223,c,backend,4.0
1224,c,game,1.0
1225,c,game,1.0
1226,c,game,2.0
1227,c,backend,1.0
1228,c,db,2.0
1229,c,ml,1.0
1230,c,backend,1.0
1231,c,game,1.0
1232,c,db,2.0
1233,c,backend,2.0
1234,c,db,1.0
1235,c,backend,1.0
1236,c,backend,2.0
1237,c,ml,3.0
1238,c,lang,1.0
1239,c,db,2.0
1240,c,lang,2.0
1241,c,db,1.0
1242,c,db,2.5
1243,c,lang,2.0
1244,c,comp,2.0
1245,c,backend,1.0
1246,c,backend,2.0
1247,c,ml,1.0
1248,c,game,1.0
1249,c,db,1.5
1250,c,lang,1.0
1251,c,db,1.0
1252,c,backend,2.0
1253,c,db,2.0
1254,c,backend,1.0
1255,c,db,2.0
1256,c,db,2.0
1257,c,lang,1.0
1258,c,backend,2.0
1259,c,backend,2.0
1260,c,backend,2.0
1261,c,backend,2.0
1262,c,lang,1.0
1263,c,backend,3.0
1264,c,game,1.0
1265,c,backend,1.0
1266,c,backend,1.0
1267,c,db,2.0
1268,c,db,1.0
1269,c,backend,1.0
1270,c,backend,1.0
1271,c,db,1.0
1272,c,lang,2.0
1273,c,db,2.0
1274,c,backend,1.0
1275,c,ml,1.0
1276,c,lang,1.0
1277,c,backend,1.0
1278,c,backend,1.0
1279,c,db,2.0
1280,c,lang,2.0
1281,c,backend,2.0
