id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW,Cosine_Similarity
ReactDOMComponent,ReactTextComponent,0.5192,0.72,0.8138,0.94,0.86,0.78,0.28,0.82,0.78,0.86,0.9729803800582886
λ0,φ0,0.175,0.61,0.242,0.92,0.91,0.89,0.41,NAN,0.5,0.75,-0.07018023729324341
xMin,xMax,0.0227,0.9763,NAN,0.9,0.95,0.97,0.38,0.9,0.5,0.75,0.17008355259895325
FunctionExpression,FunctionDeclaration,0.3125,0.8484,NAN,0.88,0.82,0.9,0.37,0.96,0.58,0.76,0.6810013651847839
Lines,CurRange,0.325,0.428,NAN,0.58,0.68,0.87,0.46,0.39,0.12,0.38,0.012607678771018982
foundMap,foundStarMap,0.7083,0.8266,NAN,0.91,0.86,0.92,0.46,0.89,0.67,0.67,0.9611976146697998
columns,cols,0.9667,0.9654,NAN,0.78,0.81,0.78,0.31,0.83,0.57,0.57,0.6117503643035889
dm,_queueHooks,0.1138,0.149,NAN,0.0,0.34,0.18,0.17,0.3,0.0,0.09,-0.01415955275297165
fuchsia,pink,0.75,0.9134,0.9877,0.28,0.77,0.92,0.48,0.95,0.0,0.29,0.1730518788099289
maxLine,maxLineLength,0.5833,0.805,0.7225,0.82,0.88,0.88,0.59,0.83,0.54,0.54,0.7255954146385193
ExpressionStatement,FunctionDeclaration,0.3055,0.6534,NAN,0.66,0.67,0.81,0.46,0.92,0.11,0.53,0.5257580280303955
addCls,removeCls,0.159,0.8346,NAN,0.85,0.92,0.96,0.71,0.96,0.33,0.5,0.5269405841827393
object2,overlapOnly,0.0667,0.0294,NAN,0.44,0.67,0.74,0.54,0.46,0.09,0.36,0.19101646542549133
_selection,_sel,0.9772,0.9763,NAN,0.81,0.82,0.69,0.43,0.45,0.4,0.4,0.6487507820129395
alignCenter,alignMiddle,0.659,0.8346,0.5563,0.87,0.9,0.94,0.58,0.94,0.45,0.73,0.8160174489021301
alignTop,popupLocationBar,0.125,0.2943,NAN,0.39,0.49,0.51,0.59,NAN,0.19,0.34,0.30225086212158203
targetFrame,targetFrameName,0.8638,0.9054,0.935,0.91,0.93,0.83,0.75,0.81,0.73,0.73,0.9636054635047913
angle,radians,0.6,0.922,0.9052,0.63,0.78,0.88,0.44,0.83,0.14,0.43,0.5530411005020142
miny,ymin,1.0,0.811,NAN,0.48,0.81,0.7,0.24,0.9,0.5,0.62,0.5481814742088318
equal,eql,0.9823,0.9815,0.983,0.7,0.79,0.73,0.73,0.72,0.6,0.6,0.3494212031364441
item,entry,0.8333,0.792,0.9186,0.4,0.63,0.46,0.13,0.84,0.2,0.5,0.2690037190914154
events,rchecked,0.1362,0.149,0.1819,0.19,0.31,0.18,-0.02,0.26,0.12,0.44,0.042388301342725754
image,polyline,0.2205,0.3729,0.0247,0.2,0.44,0.31,-0.0,0.75,0.12,0.38,0.07725457102060318
img,thumb,0.7,0.8094,0.7658,0.45,0.6,0.54,0.13,0.7,0.2,0.4,0.3585713803768158
player,peer,0.4545,0.669,NAN,0.53,0.64,0.51,0.23,0.68,0.5,0.58,0.11994224786758423
files,profiles,0.159,0.2436,NAN,0.58,0.6,0.42,-0.01,0.77,0.62,0.62,0.5524616837501526
reset,clear,0.8845,0.8999,0.945,0.52,0.69,0.63,0.34,0.93,0.0,0.5,0.4900919795036316
username,userid,0.6,0.9654,0.8685,0.72,0.79,0.67,0.15,0.65,0.5,0.62,0.5719191431999207
clear,refresh,0.45,0.7054,NAN,0.55,0.66,0.61,0.35,0.81,0.14,0.43,0.3661964535713196
disabled,Tracker,0.025,0.194,NAN,0.16,0.36,0.19,0.04,0.28,0.25,0.56,0.23102375864982605
olive,darkred,0.0715,0.61,NAN,0.45,0.69,0.75,0.24,0.88,0.14,0.43,0.12496733665466309
selectAnchor,anchorName,0.3125,0.675,NAN,0.6,0.73,0.77,0.43,0.99,0.08,0.46,0.5951529741287231
names,filenames,0.625,0.7956,0.7983,0.62,0.64,0.5,0.1,0.78,0.56,0.56,0.5471387505531311
setInterval,clearInterval,0.0715,0.9072,0.3411,0.89,0.9,0.96,0.53,0.9,0.69,0.77,0.8393333554267883
getRules,foldingRules,0.3845,0.6799,0.0831,0.7,0.76,0.66,0.43,0.66,0.42,0.54,0.4709213078022003
self_msgs,they_effects,0.0682,0.0546,0.2684,0.5,0.83,0.9,0.3,0.89,0.25,0.5,0.1141216829419136
getInstanceProp,setInstanceProp,0.0,0.9199,0.0975,0.94,0.96,0.86,0.6,0.72,0.93,0.97,0.8827810287475586
emptyText,blankText,0.8927,0.8885,0.966,0.67,0.73,0.69,0.11,0.92,0.44,0.72,0.4435723125934601
minText,maxText,0.0,0.9628,0.1279,0.95,0.9,0.93,0.65,0.99,0.71,0.86,0.8032544255256653
maxText,disabledDaysText,0.0,0.0684,NAN,0.66,0.72,0.87,0.51,0.93,0.31,0.38,0.29092010855674744
disabledDaysText,disabledDatesText,0.3638,0.8817,0.6876,0.96,0.96,0.95,0.64,0.99,0.88,0.91,0.9514757394790649
keywordMapper,buildinConstants,0.0625,0.09,NAN,0.41,0.65,0.75,0.48,0.77,0.06,0.41,0.2037227302789688
VM,invokePartial,0.0333,0.1334,NAN,0.13,0.55,0.83,0.25,0.77,0.0,0.08,-0.021321851760149002
blendMode,currentBlendMode,0.75,0.9784,0.9186,0.79,0.88,0.78,0.69,0.79,0.5,0.53,0.5846326947212219
touchmove,touchend,0.2167,0.844,NAN,0.91,0.94,0.96,0.27,0.97,0.56,0.72,0.7966535687446594
bindBuffer,ARRAY_BUFFER,0.2812,0.6425,0.625,0.51,0.81,0.96,0.72,0.65,0.08,0.46,0.02474399283528328
traverseContext,mapResult,0.4,0.48,NAN,0.36,0.58,0.84,0.25,0.68,0.2,0.4,0.22602511942386627
_owner,nextElement,0.0227,0.0546,0.1838,0.28,0.59,0.84,0.34,0.36,0.09,0.32,0.11996304243803024
m21,m22,0.159,0.7637,NAN,0.98,0.96,0.95,0.48,0.94,0.67,0.83,0.9135985970497131
child,face,0.1073,0.3872,NAN,0.12,0.46,0.32,0.14,0.5,0.0,0.4,0.18686629831790924
displayMsg,emptyMsg,0.1875,0.6966,NAN,0.47,0.8,0.79,0.24,0.88,0.5,0.65,-0.006596089340746403
pseudoElements,pseudoClasses,0.4545,0.811,NAN,0.71,0.75,0.78,0.74,0.99,0.57,0.75,0.7688456177711487
lastName,firstName,0.0555,0.8989,0.3464,0.9,0.94,0.97,0.41,0.9,0.67,0.78,0.6239132881164551
Int16Array,Uint16Array,0.4705,0.9542,NAN,0.91,0.91,0.94,0.18,0.83,0.82,0.86,0.8760911822319031
startSymbol,endSymbol,0.044,0.9847,NAN,0.94,0.91,0.97,0.6,0.98,0.55,0.68,0.770950198173523
decrypt,ciphertext,0.3685,0.7949,NAN,0.63,0.77,0.86,0.19,0.58,0.2,0.45,0.49739009141921997
rlocalProtocol,rurl,0.3027,0.5621,NAN,0.66,0.6,0.67,0.47,0.91,0.21,0.25,0.19956636428833008
hSpace,popupFeatures,0.0155,0.1225,0.0,0.25,0.48,0.6,0.49,0.86,0.23,0.35,0.11469469219446182
linkTab,alignMiddle,0.0892,0.1643,NAN,0.4,0.46,0.62,0.12,NAN,0.27,0.45,-0.00244193896651268
lockRatio,alignRight,0.0192,0.1599,0.231,0.47,0.45,0.57,0.13,0.74,0.2,0.55,0.1642838716506958
substr,substring,1.0,0.9306,0.8889,0.91,0.86,0.9,0.64,0.97,0.67,0.67,0.8027505278587341
columns,menus,0.3862,0.551,0.0404,0.35,0.5,0.4,0.18,0.52,0.29,0.5,-0.01575145311653614
history,$ERROR,0.0207,0.1984,NAN,0.16,0.33,0.14,0.14,NAN,0.0,0.43,-0.07808829098939896
deltaX,deltaY,0.2857,0.9072,NAN,0.98,0.96,0.99,0.64,0.95,0.83,0.92,0.9989568591117859
MINUTE,SECOND,0.125,0.9566,NAN,0.77,0.85,0.95,0.29,0.99,0.0,0.5,-0.030453378334641457
onDragStart,onDragEnd,0.1345,0.98,NAN,0.95,0.93,0.88,0.27,0.96,0.55,0.68,0.6893924474716187
body,agg,0.0832,0.1115,NAN,0.17,0.55,0.15,-0.01,0.36,0.0,0.38,-0.08341437578201294
rows,pages,0.1668,0.5234,NAN,0.41,0.62,0.49,0.31,0.81,0.2,0.5,0.20917566120624542
store,storage,0.8333,0.9306,0.7382,0.72,0.71,0.59,0.09,0.77,0.71,0.71,0.6229447722434998
angle,theta,0.75,0.811,0.9186,0.52,0.74,0.83,0.31,0.85,0.0,0.5,0.5188644528388977
foo,bar,0.5208,0.6316,0.8168,0.71,0.83,0.81,0.5,0.8,0.0,0.5,0.6801238656044006
DATE,MONTH,0.225,1.0,0.5943,0.65,0.75,0.83,0.34,0.89,0.2,0.5,-0.08660794049501419
modal,calendar,0.0207,0.025,NAN,0.27,0.44,0.33,0.16,0.6,0.25,0.44,0.04579425975680351
ids,tasks,0.325,0.48,NAN,0.38,0.58,0.31,0.26,0.8,0.2,0.4,0.22239051759243011
orange,pink,0.159,0.929,NAN,0.21,0.73,0.75,0.49,0.88,0.17,0.42,0.14584209024906158
CallExpression,BlockStatement,0.2045,0.409,0.242,0.62,0.67,0.79,0.35,0.65,0.07,0.5,0.38078269362449646
data,azimuthal,0.173,0.1599,0.401,0.28,0.45,0.14,0.02,0.44,0.22,0.33,0.04533827304840088
raw,movie,0.1,0.3066,0.276,0.05,0.39,0.18,0.29,0.31,0.0,0.3,0.027050912380218506
expect,bp,0.05,0.0294,0.1062,0.05,0.48,0.22,0.05,0.07,0.17,0.25,0.1900423914194107
utils,util,0.75,0.9763,0.9526,0.71,0.73,0.56,0.37,0.9,0.8,0.8,0.6571823358535767
items,files,0.6042,0.5884,0.7505,0.3,0.59,0.38,0.28,0.77,0.4,0.6,0.2790118157863617
disabled,visible,0.125,0.6284,NAN,0.36,0.51,0.52,0.42,0.74,0.62,0.75,0.3833504617214203
round,sqrt,0.0418,0.545,NAN,0.6,0.78,0.77,0.85,0.76,0.0,0.4,0.2772010564804077
teal,lightgrey,0.25,0.87,NAN,0.25,0.7,0.87,0.39,NAN,0.11,0.28,0.22524075210094452
navy,lightblue,0.4167,0.9306,0.231,0.38,0.76,0.87,0.35,0.9,0.0,0.22,0.04578633978962898
navy,lightgreen,0.125,0.74,NAN,0.31,0.75,0.89,0.47,0.94,0.0,0.2,0.044796328991651535
navy,magenta,0.2115,0.8401,NAN,0.38,0.74,0.74,0.38,0.87,0.14,0.36,0.17441707849502563
equal,cut,0.0455,0.1253,0.2049,0.09,0.51,0.09,0.15,0.34,0.2,0.4,0.2845444679260254
start,begin,0.9375,0.9784,NAN,0.58,0.67,0.48,0.69,0.85,0.0,0.5,0.5399867296218872
renderer,screen,0.475,0.662,NAN,0.28,0.46,0.35,0.19,0.64,0.25,0.5,0.3385523557662964
visible,showing,0.8382,0.9082,NAN,0.55,0.7,0.54,-0.15,0.66,0.0,0.5,0.46533599495887756
foo,trow,0.2082,0.0684,NAN,0.22,0.62,-0.02,0.17,0.35,0.25,0.5,0.1326286941766739
arrayClass,boolClass,0.1965,0.6472,NAN,0.65,0.76,0.84,0.31,0.97,0.5,0.7,0.620727002620697
me,br,0.159,0.1017,NAN,0.06,0.62,0.16,0.35,0.46,0.0,0.5,-0.08175979554653168
items,records,0.725,0.844,0.7983,0.47,0.58,0.71,0.3,0.85,0.14,0.43,0.11013612896203995
items,ranges,0.2045,0.3383,NAN,0.24,0.55,0.38,0.18,0.78,0.17,0.5,0.09727080911397934
bindBuffer,ELEMENT_ARRAY_BUFFER,0.25,0.48,0.276,0.49,0.79,0.9,0.65,0.63,0.05,0.28,-0.16601841151714325
dispatchIDs,_dispatchIDs,0.8215,0.9628,NAN,0.78,0.88,0.78,0.5,0.43,0.92,0.92,0.8888227939605713
maroon,lightblue,0.0227,0.7163,0.1838,0.45,0.77,0.78,0.37,0.88,0.0,0.33,0.23590798676013947
remove,focus,0.0578,0.0601,0.1062,0.27,0.6,0.54,0.28,0.75,0.0,0.42,0.15673308074474335
getAnimation,depot,0.0385,0.04,NAN,0.19,0.57,0.78,0.44,0.59,0.17,0.29,0.09635217487812042
nodes,filenames,0.2333,0.4974,NAN,0.39,0.46,0.39,-0.08,0.63,0.33,0.44,0.150157168507576
cx,sx,0.3832,0.4106,NAN,0.45,0.77,0.61,0.52,0.68,0.5,0.75,0.42451363801956177
records,entries,0.9062,0.8861,1.0,0.41,0.53,0.52,0.14,0.76,0.29,0.57,0.12078181654214859
adjusted_scale,rangy,0.3333,0.48,0.242,0.27,0.39,0.27,0.35,NAN,0.0,0.18,0.020229827612638474
PLACEHOLDER,vertexFormat,0.075,0.09,0.299,0.23,0.27,0.09,-0.22,0.44,0.0,0.46,0.21945229172706604
vSpace,advisoryTitleInputLabel,0.0832,0.0814,0.0478,0.38,0.47,0.53,0.38,NAN,0.17,0.22,0.0752410814166069
λ0,λ1,0.2,0.74,0.1838,0.92,0.95,0.95,0.83,NAN,0.5,0.75,-0.09436251223087311
start,searches,0.1155,0.1399,NAN,0.21,0.47,0.27,-0.16,0.45,0.38,0.5,0.1675223708152771
navy,purple,0.225,0.688,NAN,0.37,0.84,0.9,0.42,0.95,0.0,0.33,-0.016951780766248703
olive,pink,0.0625,0.5234,NAN,0.31,0.78,0.87,0.54,0.88,0.2,0.5,0.13337159156799316
push,configure,0.0625,0.1334,NAN,0.06,0.49,0.17,0.14,0.55,0.11,0.28,0.07500667870044708
len,ln,0.8125,0.8539,0.8428,0.66,0.75,0.72,0.6,0.85,0.67,0.67,0.11101920902729034
left,top,0.05,0.766,NAN,0.8,0.88,0.91,0.81,0.98,0.0,0.38,0.5386254787445068
self,that,0.3035,0.4615,0.4594,0.28,0.7,0.62,0.1,0.88,0.0,0.5,-0.023628616705536842
y,z,0.4423,0.5801,NAN,0.58,0.86,0.73,0.58,0.84,0.0,0.5,0.5950173735618591
element,elm,0.8655,0.9399,NAN,0.58,0.73,0.6,0.37,0.84,0.43,0.43,0.3645705580711365
id,userid,0.7885,0.8401,0.8708,0.56,0.67,0.45,-0.02,0.77,0.33,0.33,0.4221126139163971
id,sessionid,0.7917,0.935,0.9169,0.41,0.55,0.45,0.12,0.71,0.22,0.22,0.27429890632629395
equal,ok,0.3333,0.3934,NAN,0.7,0.8,0.67,0.65,0.76,0.0,0.2,0.09781230241060257
container,video,0.2293,0.415,NAN,0.29,0.5,0.21,0.18,0.7,0.22,0.39,0.12702038884162903
miny,ypos,0.2955,0.6927,0.0247,0.27,0.7,0.6,0.4,0.75,0.0,0.5,0.25324946641921997
newLength,Group,0.0295,0.0211,0.1606,0.15,0.41,0.1,0.13,0.32,0.0,0.28,0.08794837445020676
colspan,assignTo,0.0555,0.0754,0.29,0.1,0.39,0.21,0.22,0.08,0.12,0.44,0.07450854033231735
setScrollTop,prefixWith,0.0832,0.1456,NAN,-0.15,0.22,0.03,0.32,0.84,0.0,0.42,-0.09446197748184204
getMinutes,getUTCMinutes,0.75,0.9277,0.9794,0.93,0.87,0.87,0.28,0.95,0.77,0.77,0.9965065121650696
FONTDATA,FONTS,0.5667,0.8614,0.8931,0.92,0.92,0.95,0.54,0.75,0.5,0.56,0.3112575113773346
ReactEmptyComponent,renderToStaticMarkup,0.0973,0.09,NAN,0.6,0.65,0.65,0.22,0.55,0.1,0.52,0.36844396591186523
images,streams,0.25,0.636,0.0404,0.27,0.46,0.35,-0.09,0.67,0.14,0.5,0.22922967374324799
VERSION,geoJson,0.075,0.09,0.1606,0.16,0.32,0.09,0.25,0.48,0.0,0.5,-0.16519935429096222
s1,s2,0.422,0.74,0.7833,0.97,0.96,0.99,0.56,0.89,0.5,0.75,0.7900253534317017
precondition,prereq,0.85,0.9134,0.8173,0.57,0.75,0.88,0.71,0.86,0.25,0.38,0.08337463438510895
setAttributeNode,createAttribute,0.4,0.7746,NAN,0.69,0.74,0.94,0.43,0.75,0.5,0.62,0.7603030204772949
Connection,Client,0.25,0.4399,NAN,0.74,0.74,0.87,0.36,0.81,0.3,0.45,0.39963194727897644
dom__FixedSizeListIterator,_dom_pos,0.3077,0.5801,NAN,0.46,0.64,0.86,0.91,NAN,0.15,0.21,0.2783639430999756
v2,v3,0.3077,0.8001,NAN,0.85,0.9,0.92,0.5,0.91,0.5,0.75,0.7066574096679688
container,submenu,0.3333,0.4366,0.242,0.28,0.49,0.35,0.33,0.78,0.11,0.44,0.14477702975273132
children,columns,0.341,0.409,NAN,0.42,0.54,0.46,0.2,0.73,0.25,0.56,0.019263850525021553
items,tiles,0.3542,0.4584,NAN,0.28,0.55,0.35,0.27,0.79,0.4,0.6,0.3212689161300659
trim,separatedList,0.1912,0.3271,NAN,0.3,0.36,0.22,0.02,NAN,0.15,0.23,0.2548069655895233
minVal,minValue,0.95,0.948,0.6913,0.84,0.89,0.65,-0.2,0.77,0.75,0.75,0.7280441522598267
push,ts,0.1043,0.1115,NAN,0.12,0.56,0.29,0.01,0.24,0.25,0.38,0.18188945949077606
expect,assume,0.7708,0.805,0.7983,0.46,0.65,0.48,0.25,0.58,0.0,0.5,-0.009507683105766773
btnModify,btnSetValue,0.5962,0.72,0.8292,0.6,0.75,0.83,0.55,NAN,0.27,0.55,0.560160756111145
nodeLinkFn,childLinkFn,0.75,0.8601,0.8763,0.84,0.89,0.94,0.47,0.75,0.55,0.73,0.4148867130279541
setMinutes,setSeconds,0.2167,0.896,0.0593,0.77,0.86,0.97,0.72,0.99,0.4,0.7,0.6058367490768433
obj1,obj2,0.65,0.792,0.5967,0.97,0.96,0.95,0.57,0.85,0.75,0.88,0.9614983797073364
destroy,clear,0.6138,0.7873,0.8296,0.55,0.69,0.63,0.55,0.93,0.14,0.43,0.3342978358268738
panelTitle,panelTitle1,0.9167,0.9654,0.625,0.92,0.96,0.86,0.69,NAN,0.91,0.91,0.8994547128677368
__dependency1__,__dependency2__,0.4605,0.9316,NAN,1.0,0.98,0.96,0.65,0.82,0.93,0.97,0.9929952025413513
ace,__ace_shadowed__,0.5,0.818,0.3489,0.44,0.66,0.84,0.69,NAN,0.19,0.19,0.3561703860759735
m1,m2,0.5735,0.8625,NAN,0.94,0.93,0.89,0.69,0.84,0.5,0.75,0.8019461035728455
latitude,longitude,0.0167,0.9306,NAN,0.91,0.94,0.97,0.67,0.96,0.67,0.78,0.8546718955039978
item,record,0.6667,0.7746,0.9662,0.29,0.57,0.66,0.18,0.77,0.0,0.33,0.153181254863739
cols,rects,0.2045,0.4563,NAN,0.41,0.66,0.4,-0.23,0.76,0.2,0.5,0.22087362408638
resetSize,popupFeatures,0.05,0.1854,0.231,0.13,0.49,0.58,0.29,0.75,0.15,0.42,0.16837529838085175
callback,cb,0.8655,0.8601,NAN,0.65,0.7,0.78,0.48,0.83,0.25,0.25,0.3858821392059326
parentWindow,scanner,0.0715,0.0343,NAN,0.14,0.34,0.06,0.2,0.26,0.17,0.38,0.06629258394241333
targetPopup,popupResizable,0.2885,0.5801,NAN,0.51,0.63,0.85,0.45,NAN,0.07,0.43,0.4565880596637726
popupToolbar,popupDependent,0.1785,0.5915,0.3865,0.63,0.75,0.9,0.34,NAN,0.36,0.61,0.5223087072372437
cursor,intercept,0.05,0.22,NAN,0.2,0.35,0.23,0.08,0.33,0.11,0.39,0.03413059189915657
split,shim,0.2917,0.3934,0.242,0.21,0.45,0.16,0.04,0.35,0.4,0.6,0.03494131937623024
ranges,codes,0.2,0.428,0.0404,0.49,0.55,0.27,0.18,0.67,0.33,0.58,0.1929141730070114
generalTab,advancedTab,0.375,0.87,0.0,0.63,0.76,0.91,0.77,0.98,0.27,0.59,0.11484961956739426
styleSelectLabel,cssClassInputLabel,0.6138,0.669,0.8547,0.64,0.74,0.94,0.74,NAN,0.44,0.67,0.5753128528594971
getBorderWidth,getPadding,0.4822,0.8328,0.5999,0.79,0.76,0.9,0.6,0.97,0.36,0.54,0.43759021162986755
ELEMENT_NODE,TEXT_NODE,0.5,0.805,0.8147,0.82,0.79,0.87,0.34,0.94,0.58,0.67,0.7144998908042908
rlocalProtocol,rprotocol,0.7,0.896,0.9428,0.92,0.78,0.77,0.47,0.81,0.57,0.61,0.7755416631698608
listeners,cbs,0.125,0.142,0.143,0.55,0.62,0.55,0.28,0.76,0.11,0.22,0.2335318922996521
tr,td,0.0455,0.811,NAN,0.81,0.82,0.8,0.56,0.77,0.5,0.75,0.4283488988876343
user,person,0.8845,0.8401,0.8462,0.55,0.73,0.72,0.19,0.81,0.17,0.42,0.3239230215549469
onPlay,onPause,0.172,0.87,NAN,0.83,0.83,0.84,0.17,0.94,0.43,0.64,0.5155622959136963
topLevelTarget,topLevelTargetID,0.625,0.87,0.7658,0.91,0.94,0.87,0.7,0.63,0.88,0.88,0.9290632605552673
clientY,_keyStr,0.0682,0.1017,NAN,0.2,0.41,0.21,0.07,0.4,0.14,0.57,0.18197001516819
oMatchesSelector,msMatchesSelector,0.6833,0.8614,0.4824,0.92,0.96,0.94,0.63,1.0,0.88,0.91,0.987162709236145
re,destruct,0.0207,0.0684,0.0247,0.12,0.45,0.12,-0.04,0.46,0.12,0.19,-0.03937097638845444
translateX,translateY,0.2045,0.9527,NAN,0.98,0.97,0.97,0.64,0.94,0.9,0.95,0.9985198974609375
click,dblclick,0.2333,0.9654,NAN,0.75,0.75,0.66,0.39,0.82,0.62,0.62,0.8697502613067627
columns,requests,0.1537,0.1599,NAN,0.24,0.49,0.31,0.17,0.75,0.25,0.56,0.16886116564273834
a11,b12,0.2142,0.6284,0.1062,0.76,0.87,0.86,0.55,0.93,0.33,0.67,0.6206719279289246
pink,brown,0.0358,0.7215,0.2204,0.38,0.74,0.82,0.63,0.91,0.0,0.4,0.06236977502703667
floor,abs,0.1138,0.4563,NAN,0.65,0.82,0.82,0.76,0.9,0.0,0.3,0.2680467665195465
math,miny,0.0192,0.3599,0.1581,0.47,0.63,0.44,0.27,0.35,0.25,0.62,0.3590557873249054
toggle,isLength,0.0147,0.0057,0.1147,0.19,0.42,0.07,-0.04,0.32,0.12,0.44,0.03954550251364708
paddingRight,paddingTop,0.05,1.0,NAN,0.89,0.88,0.88,0.28,0.94,0.58,0.71,0.9212179183959961
dataAndEvents,deepDataAndEvents,0.6875,0.8375,0.8374,0.91,0.97,0.97,0.86,0.7,0.76,0.76,0.7019246816635132
found,rawFunc,0.0385,0.0998,NAN,0.06,0.42,0.15,-0.03,NAN,0.29,0.5,0.05211859941482544
alpha,rate,0.125,0.22,NAN,0.37,0.59,0.49,0.27,0.71,0.0,0.4,0.21021464467048645
layers,entries,0.2955,0.4327,NAN,0.38,0.5,0.44,0.22,0.67,0.14,0.5,0.1155906543135643
keyup,deferId,0.1345,0.1399,NAN,0.19,0.46,0.32,-0.11,0.43,0.14,0.43,0.14305375516414642
material,light,0.0832,0.3414,NAN,0.51,0.65,0.73,0.4,0.71,0.0,0.31,0.33406877517700195
controller,mutator,0.3125,0.3716,0.242,0.23,0.31,0.22,0.11,0.55,0.2,0.45,0.043210286647081375
files,locations,0.4423,0.48,0.8585,0.25,0.46,0.3,-0.04,0.82,0.22,0.39,0.23671254515647888
files,problems,0.0625,0.0738,NAN,0.29,0.56,0.49,0.22,0.78,0.38,0.5,0.21618212759494781
frames,markers,0.2188,0.5611,NAN,0.11,0.35,0.31,0.06,0.69,0.29,0.57,0.19952422380447388
objects,shortcuts,0.1168,0.1505,NAN,0.2,0.38,0.42,0.12,0.69,0.33,0.56,0.10570797324180603
a01,b11,0.1965,0.48,NAN,0.8,0.9,0.88,0.35,0.94,0.33,0.67,0.5775250196456909
defHeaders,defHeaderName,0.5208,0.9566,0.8124,0.82,0.9,0.92,0.68,0.5,0.69,0.73,0.7276419997215271
click,mouseup,0.5168,0.9134,0.143,0.51,0.67,0.73,0.34,0.9,0.0,0.36,0.38913726806640625
inputs,resources,0.4107,0.6284,0.7932,0.29,0.45,0.32,-0.03,0.78,0.22,0.44,0.1880268156528473
advice,alternative,0.0715,0.1271,NAN,0.26,0.35,0.46,0.27,0.71,0.27,0.41,0.03143157437443733
body,currants,0.125,0.22,0.276,0.26,0.47,0.04,0.29,0.5,0.0,0.25,0.11653856933116913
a12,a13,0.4167,0.7616,NAN,0.96,0.97,0.96,0.5,0.98,0.67,0.83,0.8545475602149963
abs,sqrt,0.0207,0.74,NAN,0.61,0.81,0.83,0.85,0.89,0.0,0.38,0.5575271248817444
cells,segments,0.5893,0.7028,NAN,0.3,0.5,0.37,0.14,0.72,0.25,0.44,0.11977486312389374
place,written,0.0227,0.1253,NAN,0.15,0.41,0.2,0.11,0.42,0.14,0.43,-0.07966113835573196
names,sources,0.577,0.6001,0.3489,0.37,0.54,0.52,0.11,0.81,0.29,0.5,0.20471987128257751
Util,isParam,0.075,0.168,NAN,0.27,0.52,0.29,0.35,0.4,0.0,0.29,0.12948644161224365
